origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
UNA,VVI,Azul→Gol,3580.5214596296164,2,UNA → SSA → GRU → VVI,BR,BO
VVI,UNA,Gol→Azul,3580.5214596296164,2,VVI → GRU → SSA → UNA,BO,BR
IPN,CZS,Azul→Gol,3599.088616729798,2,IPN → CNF → BSB → CZS,BR,BR
CZS,IPN,Gol→Azul,3599.0886167297986,2,CZS → BSB → CNF → IPN,BR,BR
OIA,ROS,Azul→Gol,3642.2427880068026,2,OIA → BSB → POA → ROS,BR,AR
ROS,OIA,Gol→Azul,3642.2427880068026,2,ROS → POA → BSB → OIA,AR,BR
COR,UNA,Gol→Azul,3686.9321734333344,2,COR → GRU → SSA → UNA,AR,BR
UNA,COR,Azul→Gol,3686.932173433335,2,UNA → SSA → GRU → COR,BR,AR
POJ,CZS,Azul→Gol,3733.7794990154152,2,POJ → CNF → BSB → CZS,BR,BR
CZS,POJ,Gol→Azul,3733.7794990154152,2,CZS → BSB → CNF → POJ,BR,BR
OIA,VVI,Azul→Gol,3771.107182865228,2,OIA → BSB → GRU → VVI,BR,BO
VVI,OIA,Gol→Azul,3771.107182865229,2,VVI → GRU → BSB → OIA,BO,BR
AQA,CZS,Azul→Gol,3821.381837360596,2,AQA → VCP → BSB → CZS,BR,BR
CZS,AQA,Gol→Azul,3821.381837360596,2,CZS → BSB → VCP → AQA,BR,BR
OIA,COR,Azul→Gol,3868.9198982507473,2,OIA → BSB → CGH → COR,BR,AR
COR,OIA,Gol→Azul,3868.919898250748,2,COR → CGH → BSB → OIA,AR,BR
JTC,CZS,Azul→Gol,3874.209341883928,2,JTC → VCP → BSB → CZS,BR,BR
CZS,JTC,Gol→Azul,3874.209341883928,2,CZS → BSB → VCP → JTC,BR,BR
OIA,CZS,Azul→Gol,3925.7810411017153,1,OIA → BSB → CZS,BR,BR
CZS,OIA,Gol→Azul,3925.7810411017153,1,CZS → BSB → OIA,BR,BR
FRC,CZS,Azul→Gol,3929.0001548587466,2,FRC → VCP → BSB → CZS,BR,BR
CZS,FRC,Gol→Azul,3929.0001548587466,2,CZS → BSB → VCP → FRC,BR,BR
MII,CZS,Azul→Gol,3954.653869558991,2,MII → VCP → BSB → CZS,BR,BR
CZS,MII,Gol→Azul,3954.653869558991,2,CZS → BSB → VCP → MII,BR,BR
QGP,AEP,Azul→Gol,3982.387508906164,2,QGP → REC → CGH → AEP,BR,AR
AEP,QGP,Gol→Azul,3982.387508906164,2,AEP → CGH → REC → QGP,AR,BR
OAL,AEP,Azul→Gol,4000.868074985156,2,OAL → BSB → POA → AEP,BR,AR
AEP,OAL,Gol→Azul,4000.868074985156,2,AEP → POA → BSB → OAL,AR,BR
QGP,EZE,Azul→Gol,4011.0989603366615,2,QGP → REC → CGH → EZE,BR,AR
EZE,QGP,Gol→Azul,4011.0989603366615,2,EZE → CGH → REC → QGP,AR,BR
ITB,AEP,Azul→Gol,4015.810852671007,2,ITB → BSB → POA → AEP,BR,AR
AEP,ITB,Gol→Azul,4015.810852671007,2,AEP → POA → BSB → ITB,AR,BR
OAL,EZE,Azul→Gol,4027.33839837398,2,OAL → BSB → POA → EZE,BR,AR
EZE,OAL,Gol→Azul,4027.33839837398,2,EZE → POA → BSB → OAL,AR,BR
QGP,ROS,Azul→Gol,4041.183817804581,2,QGP → REC → GRU → ROS,BR,AR
ROS,QGP,Gol→Azul,4041.183817804581,2,ROS → GRU → REC → QGP,AR,BR
ITB,EZE,Azul→Gol,4042.281176059831,2,ITB → BSB → POA → EZE,BR,AR
EZE,ITB,Gol→Azul,4042.281176059831,2,EZE → POA → BSB → ITB,AR,BR
OAL,ROS,Azul→Gol,4120.063789042365,2,OAL → BSB → POA → ROS,BR,AR
ROS,OAL,Gol→Azul,4120.063789042365,2,ROS → POA → BSB → OAL,AR,BR
ITB,ROS,Azul→Gol,4135.006566728216,2,ITB → BSB → POA → ROS,BR,AR
